iter	MultiClass
0	1.558729663
1	1.339283076
2	1.181064261
3	1.048394846
4	0.9509656384
5	0.8767739
6	0.8026081567
7	0.7321974652
8	0.6823126144
9	0.6291476629
10	0.5875220448
11	0.5413048949
12	0.5072829424
13	0.4731384381
14	0.44333372
15	0.4153076684
16	0.3882494042
17	0.36364405
18	0.3404207448
19	0.3245064298
20	0.3084893736
21	0.2914131807
22	0.2782620876
23	0.2657737522
24	0.255353249
25	0.2490192229
26	0.2386948612
27	0.2298780415
28	0.2196561253
29	0.2116895281
30	0.2036418456
31	0.197119136
32	0.1906613115
33	0.1864715207
34	0.1800786356
35	0.1736714165
36	0.1667108843
37	0.1620284025
38	0.1567719956
39	0.1529640228
40	0.1510708937
41	0.1448720101
42	0.1414278826
43	0.1389797121
44	0.1359864396
45	0.1318255556
46	0.1286499504
47	0.1265093835
48	0.1228028354
49	0.1194035771
50	0.1165380115
51	0.1136066576
52	0.1110768756
53	0.1088913875
54	0.106656082
55	0.1047375111
56	0.1025470864
57	0.1009201556
58	0.09928973205
59	0.09703469928
60	0.09546411956
61	0.09264407668
62	0.09159317464
63	0.09020669935
64	0.08880500117
65	0.08658779789
66	0.0847703472
67	0.0839284661
68	0.08297167249
69	0.08170249404
70	0.08059710254
71	0.07905866608
72	0.07764384901
73	0.07687751696
74	0.07589960639
75	0.07489579618
76	0.07432719763
77	0.07264754252
78	0.07133337333
79	0.07015335889
80	0.06974049242
81	0.06915572425
82	0.06783582088
83	0.06727421818
84	0.06655865973
85	0.06527081725
86	0.06407268154
87	0.06302068092
88	0.06224983075
89	0.06163075156
90	0.06104924496
91	0.06063742593
92	0.06004595207
93	0.05883979687
94	0.05839802254
95	0.05778414176
96	0.05689836087
97	0.05610420829
98	0.05551184139
99	0.05503390227
100	0.0542828043
101	0.05386482253
102	0.05340574879
103	0.05282917333
104	0.05244325733
105	0.05207938244
106	0.05140556622
107	0.0509012322
108	0.05026970106
109	0.04974240133
110	0.04934882296
111	0.04900591732
112	0.04862001256
113	0.04825739596
114	0.04794334677
115	0.04758484907
116	0.04707867934
117	0.04662572591
118	0.04641381315
119	0.04590587806
120	0.04556182882
121	0.04475349431
122	0.04456507835
123	0.04416762962
124	0.04376323784
125	0.04312720958
126	0.04251964871
127	0.04225531233
128	0.04165419623
129	0.04141151222
130	0.04107072374
131	0.04089192435
132	0.04034436531
133	0.04003432777
134	0.03978904208
135	0.03928634106
136	0.03906782385
137	0.03882720924
138	0.03845884809
139	0.03812457668
140	0.03785316815
141	0.03753831945
142	0.03720485209
143	0.03707590943
144	0.03668767024
145	0.03656800362
146	0.03625426099
147	0.03611525745
148	0.03595082273
149	0.03576830008
150	0.03554029405
151	0.03543989812
152	0.03498831035
153	0.03476549438
154	0.03469681351
155	0.03445534042
156	0.0342595523
157	0.03412912145
158	0.03388375293
159	0.03369540819
160	0.03347271953
161	0.03341631266
162	0.03324563595
163	0.03303937296
164	0.03277573271
165	0.03242740775
166	0.0320420749
167	0.03190888445
168	0.03170545255
169	0.03157268683
170	0.03140973317
171	0.03108392885
172	0.03099579767
173	0.03089073943
174	0.03068838959
175	0.03060779809
176	0.03054159288
177	0.03048527528
178	0.03034981317
179	0.03021993258
180	0.03014314429
181	0.03008161778
182	0.02987916552
183	0.02982284395
184	0.02958710356
185	0.02953955223
186	0.02925629261
187	0.02905710752
188	0.02885148588
189	0.02865163145
190	0.02850141638
191	0.02832094611
192	0.02824667247
193	0.02803284159
194	0.02782864692
195	0.02764682414
196	0.02759511283
197	0.02757964906
198	0.02743867417
199	0.02727934585
200	0.02702982377
201	0.02686603746
202	0.02677023004
203	0.02661740987
204	0.02648446889
205	0.02638671411
206	0.0261578157
207	0.02609713876
208	0.02605470797
209	0.0259207255
210	0.02574900717
211	0.02572147305
